TABLE_NAME 表中文名称
T_TX_ZLSB_ZLDLHGQ 直流电流互感器表
T_TX_ZLSB_ZLDLQ 直流断路器表
T_TX_ZLSB_ZLDYHGQ 直流电压互感器表
T_TX_ZLSB_ZLDZQ 直流电阻器表
T_TX_ZLSB_ZLGLKG 直流隔离开关表
T_TX_ZLSB_ZLJDDZ 直流接地刀闸表
T_TX_ZLSB_ZLJDJZKJSZZ 直流接地极阻抗监视装置表
T_TX_ZLSB_ZLLBQ 直流滤波器表
T_TX_ZLSB_ZLLJX 直流连接线表
T_TX_ZLSB_ZLQTDSB 直流其他点设备表
T_TX_ZLSB_ZLQTXSB 直流其他线设备表
T_TX_ZLSB_ZLZBQ 直流阻波器表
T_TX_ZNYC_BLQ 避雷器表
T_TX_ZNYC_DKQ 电抗器表
T_TX_ZNYC_DLDRQ 电力电容器表
T_TX_ZNYC_DLHGQ 电流互感器表
T_TX_ZNYC_DLQ 断路器表
T_TX_ZNYC_DSBMB 点设备模板表
T_TX_ZNYC_DYHGQ 站内一次电压互感器表
T_TX_ZNYC_DZ 电站表
T_TX_ZNYC_DZMB 电站模板表
T_TX_ZNYC_FDXQ 站内放电线圈表
T_TX_ZNYC_FHKG 负荷开关表
T_TX_ZNYC_FZX 站内一次辅助线表
T_TX_ZNYC_GLKG 隔离开关表
T_TX_ZNYC_GZZSQ 故障指示器表
T_TX_ZNYC_GZZZ 隔直装置表
T_TX_ZNYC_JDB 接地变表
T_TX_ZNYC_JDDZ 接地电阻表
T_TX_ZNYC_JGDY 间隔单元表
T_TX_ZNYC_JLLBQ 交流滤波器表
T_TX_ZNYC_MX 母线表
T_TX_ZNYC_OHDRQ 耦合电容器表
T_TX_ZNYC_PDBYQ 配电变压器表
T_TX_ZNYC_RDQ 熔断器表
T_TX_ZNYC_SYB 所用变表
T_TX_ZNYC_TXJ 调相机表
T_TX_ZNYC_XHZZ 消弧装置表
T_TX_ZNYC_XSBMB 线设备模板表
T_TX_ZNYC_ZBQ 阻波器表
T_TX_ZNYC_ZBYQ 主变压器表
T_TX_ZNYC_ZHHGQ 组合互感器表
T_TX_ZNYC_ZNDL 站内电缆表
T_TX_ZNYC_ZNDLJT 站内电缆接头表
T_TX_ZNYC_ZNFDJ 站内一次站内发电机表
T_TX_ZNYC_ZNLJX 站内连接线表
T_TX_ZNYC_ZNQTSB 站内其他设备表
T_TX_ZWYC_DKX 站外一次大馈线表
T_TX_ZWYC_DKXZX 站外一次大馈线支线表
T_TX_ZWYC_DL 站外一次电缆表
T_TX_ZWYC_DLD 电缆表
T_TX_ZWYC_DLFZX 电缆分支箱表
T_TX_ZWYC_DLJCHLX 电缆交叉互联箱表
T_TX_ZWYC_DLJDX 电缆接地箱表
T_TX_ZWYC_DLZDT 电缆终端头表
T_TX_ZWYC_DLZJJT 电缆中间接头表
T_TX_ZWYC_DX 导线表
T_TX_ZWYC_DXD 导线表
T_TX_ZWYC_FBSDY 分布式电源表
T_TX_ZWYC_FJD 分界点表
T_TX_ZWYC_JCKY 站外一次交叉跨越表
T_TX_ZWYC_SBSSDKX 站外一次设备所属大馈线表
T_TX_ZWYC_WLG 物理杆表
T_TX_ZWYC_XL 线路表
T_TX_ZWYC_XLBLQ 线路避雷器表
T_TX_ZWYC_XLGZZSQ 线路故障指示器表
T_TX_ZWYC_XNLJD 站内虚拟连接点表
T_TX_ZWYC_YHJRD 用户接入点表
T_TX_ZWYC_YXGT 运行杆塔表
T_TX_ZWYC_ZSBYQ 柱上变压器表
T_TX_ZWYC_ZSDLHGQ 柱上电流互感器表
T_TX_ZWYC_ZSDLQ 柱上断路器表
T_TX_ZWYC_ZSDLSRDQ 柱上跌落式熔断器表
T_TX_ZWYC_ZSDRQ 柱上电容器表
T_TX_ZWYC_ZSDYHGQ 站外一次柱上电压互感器表
T_TX_ZWYC_ZSFHKG 柱上负荷开关表
T_TX_ZWYC_ZSGLKG 柱上隔离开关表
T_TX_ZWYC_ZWCLJX 站外超连接线表
T_TX_ZWYC_ZWLJX 站外连接线表
T_TX_ZWYC_ZYSDD 站外一次中压受电点表
T_ZTT_CWT_GGSS_FZM 仓位图公共设施辅助面表
T_ZTT_CWT_ZNYC_DZ 仓位图站内一次电站表
T_ZTT_DXT_FZX 单线图辅助线表
T_ZTT_DXT_GGSS_FZBJ 单线图辅助标记表
T_ZTT_DXT_ZNYC_BJDY 专题图单线图站内一次布局单元表
T_ZTT_DXT_ZNYC_BLQ 单线图站内一次避雷器表
T_ZTT_DXT_ZNYC_DLQ 单线图站内一次断路器表
T_ZTT_DXT_ZNYC_DYHGQ 单线图站内一次电压互感器表
T_ZTT_DXT_ZNYC_DZ 单线图站内一次电站表
T_ZTT_DXT_ZNYC_FHKG 单线图站内一次负荷开关表
T_ZTT_DXT_ZNYC_GLKG 单线图站内一次隔离开关表
T_ZTT_DXT_ZNYC_GZZSQ 单线图站内一次故障指示器表
T_ZTT_DXT_ZNYC_MX 单线图站内一次母线表
T_ZTT_DXT_ZNYC_PDBYQ 单线图站内一次配电变压器表
T_ZTT_DXT_ZNYC_RDQ 单线图站内一次熔断器表
T_ZTT_DXT_ZNYC_SYB 专题图单线图站内一次所用变表
T_ZTT_DXT_ZNYC_ZBYQ 单线图站内一次主变压器表
T_ZTT_DXT_ZNYC_ZNDLJT 单线图站内一次电缆接头表
T_ZTT_DXT_ZNYC_ZNLJX 单线图站内连接线表
T_ZTT_DXT_ZWYC_DLD 单线图站外电缆段表
T_ZTT_DXT_ZWYC_DLFZX 专题图单线图站外一次电缆分支箱表
T_ZTT_DXT_ZWYC_DLZDT 单线图站外电缆终端头表
T_ZTT_DXT_ZWYC_DLZJJT 单线图站外电缆中间接头表
T_ZTT_DXT_ZWYC_DXD 单线图站外导线表
T_ZTT_DXT_ZWYC_HBGX 专题图单线图站外一次合并关系表
T_ZTT_DXT_ZWYC_XLGZZSQ 单线图站外线路故障指示器表
T_ZTT_DXT_ZWYC_YXGT 单线图站外运行杆塔表
T_ZTT_DXT_ZWYC_ZSBYQ 单线图站外柱上变压器表
T_ZTT_DXT_ZWYC_ZSCHQ 单线图站外柱上重合器表
T_ZTT_DXT_ZWYC_ZSDLQ 单线图站外柱上断路器表
T_ZTT_DXT_ZWYC_ZSDLSRDQ 单线图站外柱上跌落式熔断器表
T_ZTT_DXT_ZWYC_ZSFHKG 单线图站外柱上负荷开关表
T_ZTT_DXT_ZWYC_ZSGLKG 单线图站外柱上隔离开关表
T_ZTT_DXT_ZWYC_ZWCLJX 单线图站外一次站外超连接线表
T_ZTT_DXT_ZWYC_ZWLJX 单线图站外一次站外连接线表
T_ZTT_GDFWT_GGSS_FZM 供电范围图辅助面表
T_ZTT_GDFWT_GGSS_FZX 供电范围图辅助线表
T_ZTT_GDFWT_ZNYC_DZ 供电范围图站内一次电站表
T_ZTT_GDFWT_ZWYC_XLGX 专题图供电范围图线路关系表
T_ZTT_HLT_ZNYC_DLQ 系统环路图站内一次断路器表
T_ZTT_HLT_ZNYC_DZ 系统环路图站内一次电站表
T_ZTT_HLT_ZNYC_GLKG 系统环路图站内一次隔离开关表
T_ZTT_HLT_ZNYC_MX 系统环路图站内一次母线表
T_ZTT_HLT_ZNYC_PDBYQ 系统环路图站内一次配电变压器表
T_ZTT_HLT_ZNYC_ZNDLJT 系统环路图站内一次站内电缆接头表
T_ZTT_HLT_ZNYC_ZNLJX 系统环路图站内一次站内连接线表
T_ZTT_HLT_ZWYC_DLD 系统环路图站外一次电缆段表
T_ZTT_HLT_ZWYC_DXD 系统环路图站外一次导线表
T_ZTT_HLT_ZWYC_YXGT 系统环路图站外一次运行杆塔表
T_ZTT_HLT_ZWYC_ZSBYQ 系统环路图站外一次柱上变压器表
T_ZTT_HLT_ZWYC_ZSDLSRDQ 系统环路图站外一次柱上跌落式熔断器表
T_ZTT_HLT_ZWYC_ZWCLJX 系统环路图站外一次柱站外超连接线表
T_ZTT_HLT_ZWYC_ZWLJX 系统环路图站外一次站外连接线表
T_ZTT_QYXTT_ZNYC_BJDY 专题图区域系统图站内一次布局单元表
T_ZTT_QYXTT_ZNYC_DZ 专题图区域系统图站内一次电站表
T_ZTT_QYXTT_ZNYC_ZNDLJT 专题图区域系统图站内一次站内电缆接头表
T_ZTT_QYXTT_ZNYC_ZNLJX 专题图区域系统图站内一次站内连接线表
T_ZTT_QYXTT_ZWYC_DLD 专题图区域系统图站外一次电缆段表
T_ZTT_QYXTT_ZWYC_DLZDT 专题图区域系统图站外一次电缆终端头表
T_ZTT_QYXTT_ZWYC_DXD 专题图区域系统图站外一次电缆段表
T_ZTT_QYXTT_ZWYC_HBGX 专题图区域系统图站外一次合并关系表
T_ZTT_QYXTT_ZWYC_YXGT 专题图区域系统图站外一次运行杆塔表
T_ZTT_QYXTT_ZWYC_ZSBYQ 专题图区域系统图站外一次柱上避雷器表
T_ZTT_QYXTT_ZWYC_ZSDLSRDQ 专题图区域系统图站外一次柱上跌落式熔断器表
T_ZTT_QYXTT_ZWYC_ZSGLKG 专题图区域系统图站外一次柱上复合开关表
T_ZTT_QYXTT_ZWYC_ZWCLJX 专题图区域系统图站外一次站外超连接线表
T_ZTT_QYXTT_ZWYC_ZWLJX 专题图区域系统图站外一次站外连接线表
T_ZTT_SYT_GGSS_FZBJ 专题图索引图公共设施辅助标记表
T_ZTT_SYT_ZNYC_DZ 专题图索引图站内一次电站表
T_ZTT_TQT_DYSB_DYDLD 台区图低压电缆段表
T_ZTT_TQT_DYSB_DYDLZDT 低压台区图低压设备电缆终端头表
T_ZTT_TQT_DYSB_DYDLZJJT 低压台区图低压设备电缆中间接头表
T_ZTT_TQT_DYSB_DYDRQ 台区图低压设备低压电容器表
T_ZTT_TQT_DYSB_DYDXD 低压台区图低压设备导线表
T_ZTT_TQT_DYSB_DYGLKG 低压台区图低压设备低压隔离开关表
T_ZTT_TQT_DYSB_DYKG 低压台区图低压设备低压开关表
T_ZTT_TQT_DYSB_DYMX 低压台区图低压设备低压母线表
T_ZTT_TQT_DYSB_DYRS 台区图低压熔丝表
T_ZTT_TQT_DYSB_DYYHJRD 低压台区图低压设备低压用户接入点表
T_ZTT_TQT_DYSB_DYYXGT 低压台区图低压设备低压运行杆塔表
T_ZTT_TQT_DYSB_DYZNDLJT 台区图低压站内电缆接头表
T_ZTT_TQT_DYSB_DYZNLJX 版本表_台区图低压站内电缆接头表
T_ZTT_TQT_DYSB_DYZSGLKG 低压台区图低压设备低压柱上开关表
T_ZTT_TQT_DYSB_DYZSKG 低压台区图低压设备低压柱上开关表
T_ZTT_TQT_DYSB_DYZSRDQ 低压台区图低压设备低压柱上熔断器表
T_ZTT_TQT_DYSB_DYZWCLJX 台区图低压站外超连接线 表
T_ZTT_TQT_DYSB_DYZWLJX 版本表_台区图低压站外连接线 表
T_ZTT_TQT_DYSB_QZJ 低压台区图低压设备墙支架表
T_ZTT_TQT_ZNYC_DZ 台区图站内一次电站表
T_ZTT_TQT_ZNYC_PDBYQ 台区图站内一次配电变压器表
T_ZTT_TQT_ZNYC_ZNDLJT 台区图站内一次站内电缆接头表
T_ZTT_TQT_ZNYC_ZNLJX 台区图站内一次站内连接线表
T_ZTT_TQT_ZWYC_ZSBYQ 台区图站外一次柱上变压器表
T_ZTT_XTJT_ZNYC_BLQ 系统简图站内一次避雷器表
T_ZTT_XTJT_ZNYC_DLHGQ 系统简图站内一次电流互感器表
T_ZTT_XTJT_ZNYC_DLQ 系统简图站内一次断路器表
T_ZTT_XTJT_ZNYC_DYHGQ 系统简图站内一次电压互感器表
T_ZTT_XTJT_ZNYC_GLKG 系统简图站内一次隔离开关表
T_ZTT_XTJT_ZNYC_MX 系统简图站内一次母线表
T_ZTT_XTJT_ZNYC_RDQ 系统简图站内一次熔断器表
T_ZTT_XTJT_ZNYC_ZNDLJT 系统简图站内一次电缆接头表
T_ZTT_XTJT_ZNYC_ZNLJX 系统简图站内一次站内连接线表
T_ZTT_XTJT_ZWYC_DXD 系统简图站外一次导线表
T_ZTT_XTJT_ZWYC_YXGT 系统简图站外一次运行杆塔表
T_ZTT_XTXT_DYSB_DYDLD 系统详图低压设备电缆段表
T_ZTT_XTXT_DYSB_DYMX 系统详图低压设备低压母线表
T_ZTT_XTXT_GGSS_FZBJ 系统详图辅助标记表
T_ZTT_XTXT_ZNYC_BLQ 系统详图站内一次避雷器表
T_ZTT_XTXT_ZNYC_DKQ 系统详图站内一次电抗器表
T_ZTT_XTXT_ZNYC_DLDRQ 系统详图站内一次电力电容器表
T_ZTT_XTXT_ZNYC_DLHGQ 系统详图站内一次电流互感器表
T_ZTT_XTXT_ZNYC_DLQ 系统详图站内一次断路器表
T_ZTT_XTXT_ZNYC_DYHGQ 系统详图站内一次电压互感器表
T_ZTT_XTXT_ZNYC_DZ 系统详图站内一次电站表
T_ZTT_XTXT_ZNYC_FHKG 系统详图站内一次负荷开关表
T_ZTT_XTXT_ZNYC_GLKG 系统详图站内一次隔离开关表
T_ZTT_XTXT_ZNYC_JDB 系统详图站内一次接地变表
T_ZTT_XTXT_ZNYC_JDDZ 系统详图站内一次接地电阻表
T_ZTT_XTXT_ZNYC_MX 系统详图站内一次母线表
T_ZTT_XTXT_ZNYC_OHDRQ 系统详图站内一次耦合电容器表
T_ZTT_XTXT_ZNYC_PDBYQ 系统详图站内一次配电变压器表
T_ZTT_XTXT_ZNYC_RDQ 系统详图站内一次熔断器表
T_ZTT_XTXT_ZNYC_SYB 系统详图站内一次所用变表
T_ZTT_XTXT_ZNYC_XHZZ 系统详图站内一次消弧装置表
T_ZTT_XTXT_ZNYC_ZBQ 系统详图站内一次阻波器表
T_ZTT_XTXT_ZNYC_ZBYQ 系统详图站内一次主变压器表
T_ZTT_XTXT_ZNYC_ZNDL 系统详图站内一次电缆表
T_ZTT_XTXT_ZNYC_ZNDLJT 系统详图站内一次电缆接头表
T_ZTT_XTXT_ZNYC_ZNLJX 系统详图站内一次站内连接线表
T_ZTT_XTXT_ZNYC_ZNQTSB 系统详图站内一次其他设备表
T_ZTT_XTXT_ZWYC_DLD 系统详图站外一次电缆段表
T_ZTT_XTXT_ZWYC_DLZDT 系统详图站外一次电缆终端头表
T_ZTT_XTXT_ZWYC_DLZJJT 系统详图站外一次电缆中间接头表
T_ZTT_XTXT_ZWYC_DXD 系统详图站外一次导线表
T_ZTT_XTXT_ZWYC_YXGT 系统详图站外一次运行杆塔表
T_ZTT_XTXT_ZWYC_ZSBYQ 系统详图站外一次柱上变压器表
T_ZTT_XTXT_ZWYC_ZSDLQ 系统详图站外一次柱上断路器表
T_ZTT_XTXT_ZWYC_ZSDLSRDQ 系统详图站外一次柱上跌落式熔断器表
T_ZTT_XTXT_ZWYC_ZSFHKG 系统详图站外一次柱上负荷开关表
T_ZTT_XTXT_ZWYC_ZSGLKG 系统详图站外一次柱上隔离开关表
T_ZTT_XTXT_ZWYC_ZWCLJX 系统详图站外一次超连接线表
T_ZTT_XTXT_ZWYC_ZWLJX 系统详图站外一次站外连接线表
T_ZTT_ZST_ZNYC_BJDY 专题图站室图站内一次布局单元表
T_ZTT_ZST_ZNYC_BLQ 专题图站室图站内一次避雷器表
T_ZTT_ZST_ZNYC_DLQ 专题图站室图站内一次断路器表
T_ZTT_ZST_ZNYC_DYHGQ 专题图站室图站内一次电压互感器表
T_ZTT_ZST_ZNYC_DZ 专题图站室图站内一次电站表
T_ZTT_ZST_ZNYC_FHKG 专题图站室图站内一次复合开关表
T_ZTT_ZST_ZNYC_GLKG 专题图站室图站内一次隔离开关表
T_ZTT_ZST_ZNYC_MX 专题图站室图站内一次母线表
T_ZTT_ZST_ZNYC_PDBYQ 专题图站室图站内一次配电变压器表
T_ZTT_ZST_ZNYC_RDQ 专题图站室图站内一次熔断器表
T_ZTT_ZST_ZNYC_ZNDLJT 专题图站室图站内一次站内电缆接头表
T_ZTT_ZST_ZNYC_ZNLJX 专题图站室图站内一次站内连接线表
T_ZTT_ZST_ZWYC_DLD 专题图站室图站外一次电缆段表
T_ZTT_ZST_ZWYC_DLZDT 专题图站室图站外一次电缆终端头表
T_ZTT_ZST_ZWYC_HBGX 专题图站室图站外一次合并关系表
T_ZTT_ZST_ZWYC_YXGT 专题图站室图站外一次运行杆塔表
T_ZTT_ZST_ZWYC_ZSDLQ 专题图站室图站外一次柱上断路器表
T_ZTT_ZST_ZWYC_ZSDLSRDQ 专题图站室图站外一次柱上跌落式熔断器表
T_ZTT_ZST_ZWYC_ZSFHKG 专题图站室图站外一次柱上复合开关表
T_ZTT_ZST_ZWYC_ZSGLKG 专题图站室图站外一次柱上复合开关表
T_ZTT_ZST_ZWYC_ZWCLJX 专题图站室图站外一次站外超连接线表
T_ZTT_ZST_ZWYC_ZWLJX 专题图站室图站外一次站外连接线表
T_ZTT_ZWXTT_GGSS_FZBJ 主网系统图辅助标记表
T_ZTT_ZWXTT_ZNYC_DLQ 主网系统图站内一次断路器表
T_ZTT_ZWXTT_ZNYC_DZ 主网系统图站内一次电站表
T_ZTT_ZWXTT_ZNYC_GLKG 主网系统图站内一次隔离开关表
T_ZTT_ZWXTT_ZNYC_ZNDLJT 主网系统图站内一次电缆接头表
T_ZTT_ZWXTT_ZNYC_ZNLJX 主网系统图站内连接线表
T_ZTT_ZWXTT_ZWYC_DLD 主网系统图站外一次电缆段表
T_ZTT_ZWXTT_ZWYC_DXD 主网系统图站外一次导线表
T_YJ_DWYJ_LP_CZPGLDL 两票-操作票关联调令表
T_YJ_DWYJ_LP_CZPJL 两票-操作票记录表
T_YJ_DWYJ_LP_CZPWB 两票-操作票文本表
T_YJ_DWYJ_LP_PJ 两票-评价表
ISC_SPECIALORG_UNIT_LOCEXT 部门扩展表
T_WW_FJ 问问-附件表
T_WW_HIS 问问记录表
T_WW_MAIN 问问提问表
T_WW_MAIN_ADD 问问-追加问题表
T_WW_MAIN_RE 问问-回复问题表
T_YJ_DWYJ_TDSQD 停电申请单表
T_YJ_DWYJ_TDSQDFW 停电申请单设备停电范围数据表
T_YJ_SDYJ_CZPJL 水电操作票记录表
T_BJCT_BBH 成图版本号表
T_DW_CONNECT_GZDX 故障指示器与导线段连接关系表
T_YJ_YWZH_CZZLP 操作指令票表
T_DW_DXDGT_RESTP 导线段杆塔资源之间拓扑关系表
T_YJ_YWZH_CZZLP_XGJL 指令票修改记录表
T_DW_SBYD_SVG 自动成图公共表，保存SVG图形记录表
T_DW_SBYD_TXTZFB 图形表（发布涉及的图形表）表
T_DW_SBYD_WTLBXQ 现场问题列表详情表
T_DW_SBYD_YDSBLB 变更异动设备列表
T_DW_ZNYC_ZF_EXT 多电源非联络站房集合表
T_SB_XPDZDHSB_DTU 配电终端单元DTU表
T_SB_XPDZDHSB_FTU 馈线远方终端FTU表
T_YDTZ_RECORD pms2.0发送异动通知详情记录表
T_YDTZ_ZDCT 自动成图，保存获取svg图形记录(包括svg图形)表
J_CBGJ_BD_BZWH_CZ 变电成本归集-操作表
J_CBGJ_BD_BZWH_JX 变电成本归集-检修表
J_CBGJ_BD_BZWH_TS 变电成本归集-标准-特殊表
J_CBGJ_BD_BZWH_XS 变电成本归集-巡视表
J_CBGJ_BD_CZJL 操作成本归集表
J_CBGJ_BD_GLCBBL 管理成本比例表
J_CBGJ_BD_JXJL 检修成本归集表
J_CBGJ_BD_NDFY 年度费用表
J_CBGJ_BD_XSJL 巡视成本归集表
J_GC_BZ_CFG 标准配置表
J_GC_BZ_MAIN 工程标准表
J_GC_BZ_MAIN_SUB 工程预审表
J_GC_BZ_PATH 标准文件路径表
T_YJ_YWZH_CZZLP_XGMX 指令票修改记录明细表
J_LP_BDZWORKTICKET_EJDH_S1 一级动火票-动火地点表
J_LP_BDZWORKTICKET_EJDH_S2 一级动火票-动火内容表
J_LP_BDZWORKTICKET_EJDH_S3 一级动火票-设备管理方安全措施表
J_LP_BDZWORKTICKET_EJDH_S4 一级动火票-动火作业方安全措施表
J_LP_BDZWORKTICKET_EJDH_S5 一级动火票-其它事项表
T_YJ_YWZH_DZCZRZ 倒闸操作日志表
T_YJ_YWZH_DZCZYXFW 倒闸操作影响范围表
J_LP_BDZWORKTICKET_FIRST_S1 变电第一种工作票－工作任务表1表
J_LP_BDZWORKTICKET_FIRST_S2 变电第一种工作票--工作任务表2表
J_LP_BDZWORKTICKET_FIRST_S3 变电第一种工作票--工作任务表3表
J_LP_BDZWORKTICKET_FIRST_S4 变电第一种工作票-工作任务表4表
J_LP_BDZWORKTICKET_FIRST_S5 变电第一种工作票－工作任务表5表
J_LP_BDZWORKTICKET_FIRST_S6 第一种工作票工作人员变动情况表
J_LP_BDZWORKTICKET_FIRST_SUB 变电站第一种工作票－－工作任务表
T_YJ_YWZH_DZCZYXYH 倒闸操作影响用户表
J_LP_BDZWORKTICKET_FORTH_S1 电力变电站事故应急抢修单-抢修任务(抢修地点和抢修内容)表
J_LP_BDZWORKTICKET_FORTH_S2 电力变电站事故应急抢修单-安全措施表
J_LP_BDZWORKTICKET_FORTH_S3 电力变电站事故应急抢修单-抢修地点保留带电部分或注意事项表
J_LP_BDZWORKTICKET_FORTH_S4 电力变电站事故应急抢修单-经现场勘察需补充下列安全措施表
J_LP_BDZWORKTICKET_FORTH_S5 电力变电站事故应急抢修单-现场设备状况及安全措施表
T_YJ_YWZH_EWYHYSBGLB 额外用户与设备关联表
J_LP_BDZWORKTICKET_SECOND_S2 变电第二种工作票-注意事项表
J_LP_BDZWORKTICKET_SECOND_S3 变电第一种工作票－工作任务表5表
J_LP_BDZWORKTICKET_SECOND_SUB 变电站第二种工作票-工作任务表
T_YJ_YWZH_JJJFHMDB 紧急减负荷名单表
J_LP_BDZWORKTICKET_THIRD_S1 变电站带电作业工作票-工作任务表
J_LP_BDZWORKTICKET_THIRD_S2 线路带电作业工作票-工作条件表
J_LP_BDZWORKTICKET_THIRD_S3 电力线路带电作业工作票-注意事项表
J_LP_BDZWORKTICKET_THIRD_S4 电力线路带电作业工作票-补充安全措施表
T_YJ_YWZH_JJJFHMDXQB 紧急减负荷名单详情表
J_LP_BDZWORKTICKET_YJDH_S1 一级动火票-动火地点表
J_LP_BDZWORKTICKET_YJDH_S2 一级动火票-动火内容表
J_LP_BDZWORKTICKET_YJDH_S3 一级动火票-设备管理方安全措施表
J_LP_BDZWORKTICKET_YJDH_S4 一级动火票-动火作业方安全措施表
J_LP_BDZWORKTICKET_YJDH_S5 一级动火票-其它事项表
T_YJ_YWZH_KHTFYSQD 客户停复役申请单表
J_LP_CABLEWORKTICKET_FIRST_S1 电力电缆工作任务表
J_LP_CABLEWORKTICKET_FIRST_S2 电力电缆第一种票6.1项表
J_LP_CABLEWORKTICKET_FIRST_S3 电力电缆第一种票6.2项表
J_LP_CABLEWORKTICKET_FIRST_S4 电力电缆第一种票6.3项表
J_LP_CABLEWORKTICKET_FIRST_S5 电力电缆第一种票6.4项表
